,Image,Title,Pricing,Added_price,Description
20,image_21.jpg,Atocha 14kt gold overlay mermaid coin shipwreck treasure,$184.18,$268.9,This coin is made from the silver bars recovered from the Atocha and comes with a certificate stating that. It is NOT the original coin but instead stamped from the silver bars recovered from the ship. The bezel is a beautiful free-form design of a mermaid set in solid sterling silver with a 14kt gold overlay. A beautiful and detailed piece of history.
21,image_22.jpg,Atocha nautilus shell pendant sunken shipwreck treasure coin,$184.18,$268.9,"One of my most time consuming and beautiful pieces. The bezel is solid sterling silver and I cut and inlay each piece of mother of pearl and abalone meticulously so they not only fit, but match colorwise. I put a small bail on the back because this piece will look best using a thinner chain. The coin itself is casted from the silver bars recovered from the Atocha and comes with a certificate stating that. I also sign my name on the back so you know you are getting a JackSpirit original design."
22,image_23.jpg,Large ATOCHA coin with heavy chain sunken treasure shipwreck coin with rope chain,$263.12,$384.16,This coin is made from the silver recovered from the Atocha and comes with a certificate of authenticity stating that. This coin is made from the silver recovered from the same ship. I use moulds from the original coins to get the print. The setting is solid sterling silver. This coin has a beautiful finish with a oxidized and high polish finish. Very large and striking coin. I also include a heavy duty stainless steel 4mm rope chain with it complimentary. This a a great piece of history and value. I also sign my name on the back so you know you are getting a JackSpirit original design. This is a great value for the pendant and chain.
23,image_24.jpg,Atocha solid 14kt gold pendant shipwreck treasure,$599.91,$875.87,"This piece is solid 14kt gold and the moulds are from the original gold escudos from the Atocha. This is NOT an original gold coin, but instead I use the moulds from the original to get a museum quality replica. Please keep in mind the original gold escudos from the atocha start at around 20k and up. This is a great piece, solid 14kt gold, and has the same look. The size is about the size of a quarter. It also has a unique setting, as it's held together by three triple prongs."
24,image_25.jpg,Atocha 14kt gold and silver pendant shipwreck sunken treasure coin,$473.62,$691.49,This beautiful piece from the shipwreck Atocha is made from the silver bars that was recovered. The print is from the mould of the original coins. They do come with a certificate and the frame is solid 14kt gold. A beautiful piece of history and a really good size. I use a very high polish and shiny finish for this piece.
25,image_26.jpg,Large ATOCHA coin with heavy chain sunken treasure shipwreck coin,$315.74,$460.98,This coin is made from the silver recovered from the Atocha and comes with a certificate of authenticity stating that. This coin is made from the silver recovered from the same ship. I use moulds from the original coins to get the print. The setting is solid sterling silver. I make this piece with a rough and worn texture. Very large and striking coin. I also include a heavy duty stainless steel byzantine chain with it complimentary. This a a great piece of history and value
26,image_27.jpg,Atocha pirate skull crossbones shipwreck treasure coin,$236.81,$345.74,"My latest and extremely detailed piece, the frame is solid sterling silver with 14kt gold overlay. This pirate themed coin features a Jolly Roger, with a kraken. I also engrave ""1622 Atocha"" on the headpiece of the pirate. The coin itself is casted from the silver bars recovered from the Atocha and comes with a certificate stating that. I also sign my name on the back so you know you are getting a JackSpirit original design."
27,image_28.jpg,Big atocha with chain shipwreck treasure coin museum quality mel fisher,$263.12,$384.16,This coin is made from the silver recovered from the Atocha and comes with a certificate of authenticity stating that. This coin is made from the silver recovered from the same ship. I use moulds from the original coins to get the print. The setting is solid sterling silver. This coin has a beautiful finish with a oxidized and high polish finish. Very large and striking coin. I also include a heavy duty stainless steel byzantine italian chain with it complimentary. This a a great piece of history and value. I also sign my name on the back so you know you are getting a JackSpirit original design. This is a great value for the pendant and chain.
28,image_29.jpg,Atocha 14kt solid gold coin with real 14kt gold chain,$1573.47,$2297.27,"This piece is solid 14kt gold and the moulds are from the original gold escudos from the Atocha. This is NOT an original gold coin, but instead I use the moulds from the original to get a museum quality replica. Please keep in mind the original gold escudos from the atocha start at around 20k and up. This is a great piece, solid 14kt gold, and has the same look. The chain I include is solid 14kt gold diamond cut rope chain. NOT hollow inside. It has a nice weigh to it and compliments this piece exquisitely. Please let me know what lenght chain you want in the ""notes"" section when placing your order."
29,image_30.jpg,Atocha octopus dangle drop earrings sunken shipwreck treasure coin,$125.24,$182.85,"These supercute octopus coin earrings are soild sterling silver and lightweight. The eyes are green topaz and the coin is casted from silver bars recovered from the Atocha and comes with a certificate stating that. I also have a matching pendant that would go beautifully with this. As always, I sign my name on the back so you know you are getting a JackSpirit original design."
30,image_31.jpg,Atocha 14kt gold coin and 14kt gold chain shipwreck sunken treasure coin,$1420.86,$2074.46,"This piece is solid 14kt gold and the moulds are from the original gold escudos from the Atocha. This is NOT an original gold coin, but instead I use the moulds from the original to get a museum quality replica. Please keep in mind the original gold escudos from the atocha start at around 20k and up. This is a great piece, solid 14kt gold, and has the same look. The size is about the size of a quarter. It also has a unique setting, as it's held together by three triple prongs. The chain I include is solid 14kt gold diamond cut rope chain. NOT hollow inside. It has a nice weigh to it and compliments this piece exquisitely. Please let me know what lenght chain you want in the ""notes"" section when placing your order."
31,image_32.jpg,Atocha 14kt gold overlay mini stud earrings treasure coin,$51.57,$75.29,"This is the actual silver recoverd from the atocha, which is made from the silver bars and comes with a certificate stating that. The frame is solid sterling silver with a 14kt gold overlay. Its a museum quality replica made from moulds of the original using the original silver. These mini coin studs are a great piece of history and goes with any outfit."
32,image_33.jpg,Atocha 14kt gold overlay fish hook pendant,$114.72,$167.49,"This is a larger version of the fish hook Atocha design that I make. The frame is 14kt gold overlay on solid sterling silver and the coin is made from the silver bars recovered from the Atocha and comes with a certificate stating that. I also sign my name on the back so you know you are getting a JackSpirit original design. This piece is lightweight, around 5 grams so it looks very sleek."
33,image_34.jpg,Atocha shipwreck sunken treasure coin mel fisher,$62.1,$90.67,"This coin is made from the silver recovered from the Atocha and comes with a certificate of authenticity stating that. It is not an original, but made from the silver recoverd from the same ship. I use moulds from the original coins to get the print. The setting is solid sterling silver. I make this piece with beautiful high-polish finish and texture. This a a great piece of history and value. I also sign my name on the back so you know you are getting a JackSpirit original design."
34,image_35.jpg,Small Atocha pendant treasure shipwreck silver coin,$51.57,$75.29,"This is a really cute and versatile piece of history. This coin is actually made from the silver bars recovered from the Atocha and comes with a certificate stating that. The frame is solid sterling silver with a high polish finish. Please keep in mind that even though this is not an original coin, it is made from the silver bars that was recovered from the ship. This pieces also has a a special ""Twist"" bale. An affordable and unique piece of history. I also sign my name on the back so you know you are getting a JackSpirit original design."
35,image_36.jpg,Large ATOCHA coin with heavy chain sunken treasure shipwreck coin,$315.74,$460.98,This coin is made from the silver recovered from the Atocha and comes with a certificate of authenticity stating that. This coin is made from the silver recovered from the same ship. I use moulds from the original coins to get the print. The setting is solid sterling silver. I make this piece with a rough and worn texture. Very large and striking coin. I also include a heavy duty stainless steel Greek byzantine chain with it complimentary. This a a great piece of history and value
